Кластер,Подкластер,Интент,Запрос,Частотность,Широкая частотность,Существующая страница,Решение,Целевая страница,Чем показано,Примечание
Договоры,Договор субподряда,Информационный,договор субподряда ндс,109,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»; страницы нет; по плану семантики /baza-znanii/dogovor-subpodryada/"
Договоры,Договор субподряда,Информационный,договор субподряда требования,107,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»; страницы нет; по плану семантики /baza-znanii/dogovor-subpodryada/"
Договоры,Договор субподряда,Информационный,договор субподряда 2025,105,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»; страницы нет; по плану семантики /baza-znanii/dogovor-subpodryada/"
Договоры,Договор субподряда,Информационный,стороны в договоре субподряда,98,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»; страницы нет; по плану семантики /baza-znanii/dogovor-subpodryada/"
Договоры,Договор субподряда,Информационный,договор субподряда по контракту,94,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»; страницы нет; по плану семантики /baza-znanii/dogovor-subpodryada/"
Договоры,Договор субподряда,Информационный,договор субподряда гк,93,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»; страницы нет; по плану семантики /baza-znanii/dogovor-subpodryada/"
Договоры,Договор субподряда,Коммерческий,договор субподряда услуг,354,,,create,LANDING GAP,semantic-core.csv + файлы репозитория,страницы нет; по плану семантики /proverki/dogovor-subpodryada-uslug/
Договоры,Договор субподряда,Коммерческий,договор субподряда на оказание услуг,166,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда услуг»; страницы нет; по плану семантики /proverki/dogovor-subpodryada-uslug/"
Договоры,Договор субподряда,Коммерческий,стоимость договора субподряда,114,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда услуг»; страницы нет; по плану семантики /proverki/dogovor-subpodryada-uslug/"
Договоры,Договор субподряда,Проблемный информационный,срок договора субподряда,129,,,create,LANDING GAP,semantic-core.csv + файлы репозитория,страницы нет; по плану семантики /baza-znanii/srok-dogovora-subpodryada/
Договоры,Договор субподряда,Проблемный информационный,как прописать в договоре субподряда,106,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «срок договора субподряда»; страницы нет; по плану семантики /baza-znanii/srok-dogovora-subpodryada/"
Договоры,Договор субподряда,Шаблон / лид-магнит,договор субподряда образец,772,,/articles/dogovor-subpodryada-obrazec.html,keep,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,
Договоры,Договор субподряда,Шаблон / лид-магнит,договор субподряда на работы образец,298,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,образец договора субподряда на выполнение работ,246,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,строительный договор субподряда образец,227,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,скачать договор субподряда,226,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,договор субподряда на строительные работы образец,211,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,образец договора субподряда на выполнение строительных работ,179,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,договор субподряда образец скачать,166,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,скачать договор субподряда на выполнение работ,159,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,договор строительного субподряда скачать,148,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,договор субподряда на строительные работы скачать,148,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,скачать договор субподряда на выполнение строительных работ,148,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,договор строительного субподряда образец скачать,140,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Договор субподряда,Шаблон / лид-магнит,договор субподряда образец 2026,100,,/articles/dogovor-subpodryada-obrazec.html,no-page,/articles/dogovor-subpodryada-obrazec.html,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда образец»"
Договоры,Проверка договора,Коммерческое исследование,проверка договора подряда,254,,,create,LANDING GAP,semantic-core.csv + файлы репозитория,"страницы нет; по плану семантики /proverki/proverka-dogovora-podryada/; единственный запрос группы — страница будет тонкой, рассмотреть merge в соседнюю"
Допработы,Согласование изменений,Информационный,дополнительные работы в строительстве,1029,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,keep,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,
Допработы,Согласование изменений,Информационный,акт дополнительных работ в строительстве,281,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,выполнение дополнительных работ в строительстве,173,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,дополнительные работы и затраты в строительстве,97,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,дополнительные объемы работ в строительстве,82,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,дополнительные работы в строительстве смета,70,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,документация по дополнительным работам в строительстве,63,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,закупки дополнительных работ в строительстве,52,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,расчет дополнительных работ в строительстве,50,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,дополнительные работы в строительстве определение,47,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,дополнительные работы в строительстве рб,44,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,акт необходимости выполнения дополнительных работ в строительстве,43,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,виды дополнительных работ в строительстве,43,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,лимит суммы дополнительных работ в строительстве рб,18,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Информационный,акт о необходимости дополнительных работ в строительстве,8,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,no-page,/articles/dopolnitelnye-raboty-v-stroitelstve.html,semantic-core.csv + файлы репозитория,"тот же интент, что «дополнительные работы в строительстве»"
Допработы,Согласование изменений,Коммерческий,стоимость дополнительных работ в строительстве,190,,,create,LANDING GAP,semantic-core.csv + файлы репозитория,"страницы нет; по плану семантики /proverki/stoimost-dopolnitelnyh-rabot-v-stroitelstve/; единственный запрос группы — страница будет тонкой, рассмотреть merge в соседнюю"
Допработы,Согласование изменений,Проблемный информационный,какие дополнительные работы в строительстве,81,,,create,LANDING GAP,semantic-core.csv + файлы репозитория,страницы нет; по плану семантики /baza-znanii/kakie-dopolnitelnye-raboty-v-stroitelstve/
Допработы,Согласование изменений,Проблемный информационный,порядок оформления дополнительных работ в строительстве,8,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «какие дополнительные работы в строительстве»; страницы нет; по плану семантики /baza-znanii/kakie-dopolnitelnye-raboty-v-stroitelstve/"
Допработы,Согласование изменений,Проблемный информационный,как оформляются дополнительные работы в строительстве,5,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «какие дополнительные работы в строительстве»; страницы нет; по плану семантики /baza-znanii/kakie-dopolnitelnye-raboty-v-stroitelstve/"
Допработы,Согласование изменений,Шаблон / лид-магнит,образец дополнительных работ в строительстве,189,,,create,LANDING GAP,semantic-core.csv + файлы репозитория,страницы нет; по плану семантики /materialy/obrazec-dopolnitelnyh-rabot-v-stroitelstve/
Допработы,Согласование изменений,Шаблон / лид-магнит,акт на дополнительные работы в строительстве образец,117,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «образец дополнительных работ в строительстве»; страницы нет; по плану семантики /materialy/obrazec-dopolnitelnyh-rabot-v-stroitelstve/"
Допработы,Согласование изменений,Шаблон / лид-магнит,акт дополнительных работ в строительстве скачать,46,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «образец дополнительных работ в строительстве»; страницы нет; по плану семантики /materialy/obrazec-dopolnitelnyh-rabot-v-stroitelstve/"
Допработы,Согласование изменений,Шаблон / лид-магнит,акт дополнительных работ в строительстве образец скачать,44,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «образец дополнительных работ в строительстве»; страницы нет; по плану семантики /materialy/obrazec-dopolnitelnyh-rabot-v-stroitelstve/"
Допработы,Согласование изменений,Шаблон / лид-магнит,форма акта дополнительных работ в строительстве,8,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «образец дополнительных работ в строительстве»; страницы нет; по плану семантики /materialy/obrazec-dopolnitelnyh-rabot-v-stroitelstve/"
Допработы,Согласование изменений,Шаблон / лид-магнит,письмо на дополнительные работы в строительстве образец,8,,,no-page,LANDING GAP,semantic-core.csv + файлы репозитория,"тот же интент, что «образец дополнительных работ в строительстве»; страницы нет; по плану семантики /materialy/obrazec-dopolnitelnyh-rabot-v-stroitelstve/"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ,27861,,/materialy/akt-skrytyh-rabot.html,keep,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,
Исполнительная документация,Акты скрытых работ,Информационный,акт освидетельствования скрытых работ,7434,,/articles/akt-osvidetelstvovaniya-skrytyh-rabot.html,merge,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"своя страница есть, но интент общий с «акт скрытых работ» — решить, какая сильнее"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ в строительстве,2334,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акты скрываемых работ в строительстве,2334,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ 2026,1195,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ монтаж,1109,,/articles/akt-skrytyh-rabot-montazh.html,merge,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"своя страница есть, но интент общий с «акт скрытых работ» — решить, какая сильнее"
Исполнительная документация,Акты скрытых работ,Информационный,нужен ли акт скрытых работ,894,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ 2025,761,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,нужен акт на скрытые работы,751,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ заполнение,745,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ ремонт,681,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,документ акт скрытых работ,560,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ приказ,542,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акты скрытых работ заказчик,532,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт приемки скрытых работ,526,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт выполненных скрытых работ,497,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых видов работ,475,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,подписание акта скрытых работ,475,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,оформление акта скрытых работ,436,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт освидетельствования скрытых работ 2026,418,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,перечень актов на скрытые работы,418,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,кто подписывает акты скрытых работ,415,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акты скрытых работ сп,407,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,необходимые акты скрытых работ,385,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ схема,380,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ подрядчика,369,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ кабель,345,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ реестр,343,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ строительных работ,341,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ фундамента,338,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,журнал актов скрытых работ,324,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ стены,322,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,составление акта скрытых работ,310,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,выполнение актов скрытых работ,286,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
Исполнительная документация,Акты скрытых работ,Информационный,акт скрытых работ оформляется,284,,/materialy/akt-skrytyh-rabot.html,no-page,/materialy/akt-skrytyh-rabot.html,semantic-core.csv + файлы репозитория,"тот же интент, что «акт скрытых работ»"
